byggeaar,antall_boliger,I alt,Elektrisitet,"Ved, pellets og vedbriketter",Gass og fjernvarme
2000,10585.1,16498.0,14240.0,1732.0,526.0
2001,9356.8,16498.0,14240.0,1732.0,526.0
2002,9356.8,16498.0,14240.0,1732.0,526.0
2003,9356.8,16498.0,14240.0,1732.0,526.0
2004,9356.8,16498.0,14240.0,1732.0,526.0
2005,9356.8,16498.0,14240.0,1732.0,526.0
2006,9356.8,16498.0,14240.0,1732.0,526.0
2007,9356.8,16498.0,14240.0,1732.0,526.0
2008,9356.8,16498.0,14240.0,1732.0,526.0
2009,9356.8,16498.0,14240.0,1732.0,526.0
2010,9356.8,14427.0,12559.0,882.0,948.0
2011,7683.3,14427.0,12559.0,882.0,948.0
2012,7683.3,14427.0,12559.0,882.0,948.0
2013,7683.3,14427.0,12559.0,882.0,948.0
2014,7683.3,14427.0,12559.0,882.0,948.0
2015,7683.3,14427.0,12559.0,882.0,948.0
2016,7683.3,14427.0,12559.0,882.0,948.0
2017,7683.3,14427.0,12559.0,882.0,948.0
2018,7683.3,14427.0,12559.0,882.0,948.0
2019,7683.3,14427.0,12559.0,882.0,948.0
2020,7683.3,14427.0,12559.0,882.0,948.0
2021,3052.0,14427.0,12559.0,882.0,948.0
2022,3052.0,14427.0,12559.0,882.0,948.0
