"06265: Boliger, etter region, statistikkvariabel, �r og bygningstype"
"region";"Boliger (bebodde og ubebodde) 2025 Enebolig";"Boliger (bebodde og ubebodde) 2025 Tomannsbolig";"Boliger (bebodde og ubebodde) 2025 Rekkehus, kjedehus og andre sm�hus";"Boliger (bebodde og ubebodde) 2025 Boligblokk";"Boliger (bebodde og ubebodde) 2025 Bygning for bofellesskap";"Boliger (bebodde og ubebodde) 2025 Andre bygningstyper"
"K-4022 Seljord";1464;76;87;42;20;31
"K-4024 Hjartdal";866;40;16;17;1;15
"K-4026 Tinn";2208;372;470;570;47;135
"K-4028 Kviteseid";1332;49;59;0;35;91
"K-4030 Nissedal";750;30;15;7;25;17
"K-4032 Fyresdal";661;27;3;24;0;25
"K-4034 Tokke";1271;50;27;22;15;96
"K-4036 Vinje";1961;79;75;45;60;172
"K-4201 Ris�r";2679;206;374;399;110;210
"K-4202 Grimstad";7882;466;1057;1668;611;565
"K-4203 Arendal";14651;1510;2726;2906;265;900
"K-4204 Kristiansand";22265;5523;8840;15264;1983;1586
"K-4205 Lindesnes";7941;912;1307;798;97;425
"K-4206 Farsund";3912;400;337;367;28;229
"K-4207 Flekkefjord";3397;296;394;347;39;274
"K-4211 Gjerstad";1079;53;115;8;4;67
"K-4212 Veg�rshei";877;99;60;14;21;24
"K-4213 Tvedestrand";2859;161;190;174;70;219
"K-4214 Froland";2269;161;200;204;16;121
"K-4215 Lillesand";3686;370;537;551;33;155
"K-4216 Birkenes";1808;163;124;168;87;105
"K-4217 �mli";959;46;29;9;36;39
"K-4218 Iveland";519;48;28;23;0;35
"K-4219 Evje og Hornnes";1404;194;138;95;2;102
"K-4220 Bygland";653;39;25;27;116;16
"K-4221 Valle";635;115;27;0;57;64
"K-4222 Bykle";445;45;84;4;96;33
"K-4223 Vennesla";4209;490;872;937;60;292
"K-4224 �seral";458;13;4;0;0;25
"K-4225 Lyngdal";3716;336;529;262;140;425
"K-4226 H�gebostad";781;30;15;15;16;16
"K-4227 Kvinesdal";2625;124;204;142;20;144
"K-4228 Sirdal";902;73;16;36;123;42
"K-1101 Eigersund";5083;847;602;320;175;167
"K-1103 Stavanger";24117;11102;10747;19545;2299;1032
"K-1106 Haugesund";8092;2054;3725;4227;251;1267
"K-1108 Sandnes";17211;3396;5955;7602;277;1054
"K-1111 Sokndal";1656;116;114;49;15;36
"K-1112 Lund";1314;120;85;33;0;76
"K-1114 Bjerkreim";1092;86;45;60;0;16
"K-1119 H�";5484;598;515;1169;41;412
"K-1120 Klepp";5191;657;1010;1478;24;207
"K-1121 Time";4838;569;1396;1607;35;242
"K-1122 Gjesdal";3409;358;555;526;40;206
"K-1124 Sola";7211;708;1619;2456;67;158
"K-1127 Randaberg";2941;280;451;946;13;65
"K-1130 Strand";4418;420;759;468;102;189
"K-1133 Hjelmeland";1400;42;105;12;0;34
"K-1134 Suldal";1938;70;39;72;33;86
"K-1135 Sauda";1820;329;205;68;53;80
"K-1144 Kvits�y";241;7;0;0;18;13
"K-1145 Bokn";389;55;34;4;0;23
"K-1146 Tysv�r";4131;266;654;201;32;99
"K-1149 Karm�y";15205;1155;1879;1077;224;417
"K-1151 Utsira";104;15;0;0;0;11
"K-1160 Vindafjord";3902;203;192;56;61;186
"K-4601 Bergen";36291;11063;25267;68859;3957;2028
"K-4602 Kinn";5662;812;1083;686;115;256
"K-4611 Etne";1866;98;72;60;40;101
"K-4612 Sveio";2490;182;168;25;26;71
"K-4613 B�mlo";4848;430;483;99;37;131
"K-4614 Stord";5923;601;1158;1428;336;257
"K-4615 Fitjar";1295;79;58;39;1;114
"K-4616 Tysnes";1593;98;145;50;26;68
"K-4617 Kvinnherad";5220;723;546;324;18;269
"K-4618 Ullensvang";3799;702;858;830;93;402
"K-4619 Eidfjord";542;20;15;10;11;38
"K-4620 Ulvik";536;16;31;49;0;124
"K-4621 Voss";5788;905;456;1269;85;281
"K-4622 Kvam";3278;345;247;311;123;141
"K-4623 Samnanger";1037;86;67;52;8;33
"K-4624 Bj�rnafjorden";7718;1167;1355;1180;70;300
"K-4625 Austevoll";2217;82;127;119;42;49
"K-4626 �ygarden";11870;1325;1934;1609;121;316
"K-4627 Ask�y";8115;1698;1469;937;87;103
"K-4628 Vaksdal";1425;252;162;187;0;50
"K-4629 Modalen";163;20;7;0;0;3
"K-4630 Oster�y";3006;235;462;142;34;43
"K-4631 Alver";9644;1269;1316;1187;77;320
